2026/06/08 14:28:57 "GET http://localhost:8080/api/health HTTP/1.1" from [::1]:1346 - 200 81B in 0s
2026/06/08 14:29:26 "GET http://127.0.0.1:8080/api/auth/me HTTP/1.1" from 127.0.0.1:12476 - 401 129B in 1.0336ms
2026/06/08 16:13:57 "GET http://127.0.0.1:8080/api/app/provider-configs HTTP/1.1" from 127.0.0.1:5627 - 200 1233B in 538.6772ms
2026/06/08 16:13:57 "GET http://127.0.0.1:8080/api/app/provider-configs HTTP/1.1" from 127.0.0.1:1382 - 200 1233B in 2.7192ms
2026/06/08 16:13:57 "GET http://127.0.0.1:8080/api/app/projects HTTP/1.1" from 127.0.0.1:3312 - 200 301B in 54.8776ms
2026/06/08 16:13:57 "GET http://127.0.0.1:8080/api/app/projects/0d50ad07-ac36-4736-b096-437c224825cb/canvas HTTP/1.1" from 127.0.0.1:13410 - 200 72130B in 42.7463ms
2026/06/08 16:14:00 "PUT http://127.0.0.1:8080/api/app/projects/0d50ad07-ac36-4736-b096-437c224825cb/canvas HTTP/1.1" from 127.0.0.1:6087 - 200 72131B in 96.9153ms
2026/06/08 16:37:47 "GET http://127.0.0.1:8080/api/app/provider-configs HTTP/1.1" from 127.0.0.1:9071 - 200 1233B in 88.8648ms
2026/06/08 16:37:47 "GET http://127.0.0.1:8080/api/app/provider-configs HTTP/1.1" from 127.0.0.1:12907 - 200 1233B in 3.0537ms
2026/06/08 16:37:47 "GET http://127.0.0.1:8080/api/app/projects HTTP/1.1" from 127.0.0.1:1080 - 200 301B in 14.048ms
2026/06/08 16:37:47 "GET http://127.0.0.1:8080/api/app/projects/0d50ad07-ac36-4736-b096-437c224825cb/canvas HTTP/1.1" from 127.0.0.1:2106 - 200 72130B in 22.021ms
2026/06/08 17:32:39 "GET http://127.0.0.1:8080/api/app/provider-configs HTTP/1.1" from 127.0.0.1:6821 - 200 1233B in 597.0217ms
2026/06/08 17:32:39 "GET http://127.0.0.1:8080/api/app/provider-configs HTTP/1.1" from 127.0.0.1:12889 - 200 1233B in 7.3022ms
2026/06/08 17:32:39 "GET http://127.0.0.1:8080/api/app/projects HTTP/1.1" from 127.0.0.1:8519 - 200 301B in 77.6748ms
2026/06/08 17:32:40 "GET http://127.0.0.1:8080/api/app/projects/0d50ad07-ac36-4736-b096-437c224825cb/canvas HTTP/1.1" from 127.0.0.1:6320 - 200 72130B in 115.2641ms
2026/06/08 17:32:43 "PUT http://127.0.0.1:8080/api/app/projects/0d50ad07-ac36-4736-b096-437c224825cb/canvas HTTP/1.1" from 127.0.0.1:3193 - 200 72131B in 106.6273ms
